Gene ,A1,A2,A3,B1,B2,B3,C1,C2,C3
Pecam1,0,0,1,6,2,0,0,0,2
Pecr,265,249,161,45,42,76,46,43,40
Pef1,1740,1695,1202,919,989,1068,1145,1033,1043
Peg12,158,88,94,44,35,27,36,20,27
Peg3,4454,4631,3943,12301,11405,13380,7492,7616,5053
Peli1,204,254,210,1436,1274,1709,915,993,693
Peli2,0,0,0,0,0,0,0,0,0
Peli3,117,94,79,126,123,171,132,80,107
Pelo,988,897,868,1361,1375,1428,1551,1377,1485
Pelp1,2200,2426,2306,807,860,864,694,641,596
Pemt,33,40,13,7,11,28,13,24,10
Penk,4,8,0,48,54,54,85,65,51
Peo1,714,652,510,570,630,622,464,522,401
Pepd,785,582,475,479,449,493,415,343,385
Per1,959,1148,893,2549,2438,2743,1619,1325,1214
Per2,361,338,205,320,334,456,136,128,138
Per3,127,213,181,252,238,313,188,176,128
Perm1,179,170,86,1049,950,1342,1688,1467,1189
Perp,12940,14317,11331,9076,9094,10521,15313,14353,13044
Pes1,3026,2831,2267,1435,1481,1665,1341,1259,1132
Pet100,471,337,333,316,281,271,356,249,283
Pex1,642,536,489,113,116,162,172,236,137
Pex10,217,138,147,46,52,58,52,43,46
Pex11a,116,130,103,158,160,202,150,167,111
Pex11b,372,322,278,95,81,100,105,83,78
Pex11g,110,96,85,42,31,11,88,53,63
Pex12,148,145,120,107,109,146,126,134,92
Pex13,591,541,462,510,478,594,586,587,391
Pex14,636,585,473,299,316,305,400,326,259
Pex16,505,437,319,195,266,342,231,138,182
Pex19,123,80,69,52,43,78,59,63,24
Pex2,638,644,454,96,87,95,98,114,101
Pex26,436,435,401,174,155,250,200,200,178
Pex3,858,628,471,263,280,295,248,256,144
Pex5,74,63,46,130,48,94,86,82,95
Pex5l,0,0,0,0,0,0,0,0,0
Pex6,673,695,556,356,433,467,552,508,498
Pex7,119,104,80,44,34,40,40,50,43
Pf4,115,87,67,184,238,206,176,178,119
Pfas,1398,1836,1594,414,390,512,285,246,199
Pfdn1,2455,2342,1915,2061,2063,1803,2734,2119,2589
Pfdn2,1329,1423,921,943,800,725,840,726,697
Pfdn5,1307,1248,1077,735,738,576,849,738,645
Pfdn6,1326,1463,934,633,648,505,624,496,719
Pfkfb1,83,94,80,34,34,46,11,22,14
Pfkfb2,1278,1254,894,981,937,1113,2776,2572,2092
Pfkfb3,349,446,417,1347,1417,1493,1356,1217,1107
Pfkfb4,143,151,104,237,260,264,178,158,161
Pfkl,5542,5797,4366,4511,4098,4923,4423,3961,3675
Pfkm,669,773,493,65,64,69,116,124,107
Pfkp,5381,5529,4125,3310,3135,3316,2079,1872,1657
Pfn1,15853,18094,13685,11351,10844,10855,18894,17066,17697
Pfn2,90,97,77,41,59,47,92,41,55
Pfn3,0,0,0,0,0,0,0,0,0
Pfn4,0,3,0,0,0,0,0,0,0
Pga5,0,0,0,0,0,0,0,0,0
Pgam1,34939,36233,26487,30535,29867,33216,47115,39463,37041
Pgam2,104,75,56,44,28,52,53,34,29
Pgam5,1729,1765,1316,1163,1209,1312,1055,1053,810
Pgap1,241,216,182,123,106,149,45,61,57
Pgap2,1384,1395,1017,1037,1083,1455,1192,1098,1119
Pgap3,130,169,174,241,207,379,140,151,124
Pgbd5,49,21,36,45,41,49,25,7,18
Pgc,0,0,3,0,0,0,0,0,0
Pgd,5558,5428,3978,5675,5617,5921,4984,4053,4278
Pgf,6,10,7,9,6,0,11,12,6
Pggt1b,470,374,300,268,259,337,231,292,168
Pgk1,30992,34486,26211,20820,20697,22828,26949,25177,24375
Pgk2,0,0,0,0,0,0,0,0,0
Pgls,519,570,526,469,387,447,541,484,487
Pglyrp1,19,18,12,4,10,22,4,16,16
Pglyrp3,1,1,0,3,0,7,0,2,4
Pglyrp4,73,65,74,68,59,73,139,165,118
Pgm1,1591,1718,1190,946,989,1201,1490,1294,1072
Pgm2,1389,1645,1326,936,876,1105,1312,1031,994
Pgm2l1,80,100,70,45,45,46,16,10,15
Pgm3,897,922,665,272,313,441,313,300,233
Pgm5,0,0,0,0,0,0,0,0,0
Pgp,756,754,598,745,545,758,461,433,459
Pgpep1,1006,990,745,452,490,591,728,780,540
Pgr,30,25,27,4,14,15,18,0,5
Pgr15l,0,0,0,0,0,0,0,0,0
Pgrmc1,4855,4587,3298,3072,2832,4022,4448,4077,3460
Pgrmc2,1801,1795,1398,649,594,655,756,752,613
Phactr1,18,20,24,7,4,20,18,20,11
Phactr2,216,272,253,74,46,99,154,275,119
Phactr3,0,0,0,0,0,0,0,0,0
Phax,1077,834,780,666,668,724,459,444,350
Phb,4411,4221,3139,1363,1391,1825,1717,1661,1357
Phb2,4372,4265,3143,2209,1929,2111,1881,1695,1662
Phc1,347,356,344,258,241,279,173,195,157
Phc2,2349,2529,1886,824,848,869,871,805,685
Phc3,379,347,274,297,314,505,653,543,454
Phex,0,0,2,0,0,6,0,2,0
Phf1,259,226,210,459,357,335,277,283,260
Phf10,1310,1510,1343,505,486,731,708,711,413
Phf11,194,181,165,16,10,34,22,21,25
Phf11b,6,0,0,5,0,5,0,0,0
Phf12,928,930,801,882,852,1065,721,636,621
Phf13,381,437,399,1223,1238,1313,1110,857,962
Phf14,964,1025,720,378,425,636,486,500,342
Phf19,26,48,68,11,0,0,3,0,6
Phf2,1084,1018,1005,1138,1086,1322,1300,1116,947
Phf20,968,975,787,1119,1158,1299,589,686,507
Phf20l1,974,1170,887,303,238,372,505,582,304
Phf21b,19,18,23,17,24,26,11,17,7
Phf23,1148,1177,919,2359,2156,2342,1587,1537,1436
Phf3,1668,1714,1541,1931,1878,2370,2368,2319,1709
Phf5a,1103,1225,1094,703,685,936,713,555,533
Phf7,259,220,177,69,56,93,99,80,78
Phf8,510,524,396,480,447,721,501,421,343
Phgdh,1230,1615,1533,582,553,642,857,735,608
Phgr1,0,0,0,0,0,0,0,0,0
Phka1,458,403,254,91,65,74,101,97,97
Phka2,68,84,84,27,35,28,26,40,34
Phkb,403,336,292,95,68,163,107,100,73
Phkg1,41,24,12,5,13,12,11,3,9
Phkg2,1096,917,753,573,573,756,593,514,424
Phlda1,9831,8896,7835,37175,34278,43146,16972,17000,13875
Phlda2,922,975,725,324,255,423,373,432,263
Phlda3,8009,8000,6294,4297,4225,3748,4323,4184,3645
Phldb1,1059,1226,882,170,136,120,174,147,149
Phldb3,1996,2076,1504,3651,3737,3785,3034,2591,2445
Phlpp1,610,628,576,1008,1023,1270,1264,1352,1001
Phlpp2,504,480,394,513,414,561,333,303,230
Phospho1,1228,1242,778,1373,1290,1457,571,446,542
Phospho2,272,293,192,150,161,179,158,110,116
Phox2a,0,0,0,0,0,0,0,0,0
Phpt1,438,527,408,263,247,234,331,252,258
Phrf1,1967,2056,1644,2334,2232,2584,1472,1314,1118
Phtf1,996,1025,904,424,458,568,535,488,371
Phtf2,477,594,474,3092,2800,4453,3901,3257,2738
Phyh,59,67,56,1,4,9,7,7,10
Phyhd1,1034,1105,922,1140,1131,1370,1548,1555,1380
Phyhip,0,0,0,0,0,0,0,0,0
Phyhipl,9,2,3,5,2,3,4,18,6
Phykpl,0,0,0,0,0,0,0,0,0
Pi15,2,7,2,0,0,1,0,0,0
Pi16,0,11,4,0,4,3,5,11,6
Pi4k2a,583,604,435,566,489,667,604,524,506
Pi4k2b,1449,1737,1411,1110,980,1381,1340,1420,994
Pi4ka,1660,1685,1339,626,658,994,1001,910,750
Pi4kb,1301,1316,989,898,939,1293,931,771,703
