"","A1","A2","A3","B1","B2","B3","C1","C2","C3"
"Meiob",1.39648711180488,0.692781984201168,0.85553214998314,0,0,0,0,1.1644527336519,0
"Meis1",129.873301397853,133.014140966624,156.562383446915,291.127639388615,324.967910942347,291.944683412103,330.960195729635,185.147984650653,258.131852435658
"Meis2",183.638055202341,193.286173592126,173.673026446577,145.006103910038,139.440776331625,168.429625045444,221.370726944987,208.437039323691,204.822013345685
"Meis3",25.8350115683902,11.7772937314199,11.1219179497808,17.8469050966201,7.09020896601483,13.100081947979,15.3425256298506,30.2757710749495,33.669372056825
"Melk",206.680092547122,352.626029958395,575.773136938653,23.4240629393138,54.3582687394471,34.6216451482302,5.47947343923236,11.644527336519,7.01445251183854
"Memo1",787.61873105795,860.435224377851,829.866185483646,904.615002084929,886.276120751854,1057.36375722973,749.591966486987,773.196615144864,590.616901496805
"Men1",711.510183464584,640.130553401879,823.877460433764,590.063299757001,499.859732104046,544.589120980269,610.413341130485,557.772859419262,575.18510597076
"Meox1",0,0,0,0,0,0,0,0,0
"Meox2",0,0,0,0,0,0,0,0,0
"Mep1a",0,0,0,0,0,0,0,0,0
"Mep1b",0,0,0,0,0,0,0,2.32890546730381,0
"Mepce",11.8701404503414,15.2412036524257,13.6885143997302,23.4240629393138,20.0889254037087,13.100081947979,21.9178937569295,10.4800746028671,8.41734301420625
"Mepe",1.39648711180488,0.692781984201168,0,0,0,0,0,0,0
"Mertk",0,0.692781984201168,0,1.11543156853875,2.36340298867161,4.67860069570678,1.09589468784647,2.32890546730381,1.40289050236771
"Mesdc1",610.963111414633,628.35325967046,645.071241087287,641.373151909783,703.112389129804,642.839735590112,357.26166823795,425.025247782945,427.881603222151
"Mesdc2",1745.60888975609,1823.40218241747,1757.26303606537,1284.97716695664,1289.23633032036,1193.97889754437,1157.26479036588,1093.42111689914,1210.69450354333
"Mesp1",0,0,0,0,0,0,0,0,0
"Mesp2",2.09473066770731,9.69894777881635,5.98872504988198,0,1.18170149433581,0,6.57536812707884,3.49335820095571,7.01445251183854
"Mest",85.8839573759998,73.4348903253238,44.4876717991233,495.251616431207,477.407403711665,501.545994579767,1181.3744734985,1094.58556963279,1348.17777277537
"Met",1585.01287189853,1799.15481297043,1997.66757021063,6418.19324537199,6318.55789021355,6849.47141851473,2869.05229278207,3452.60235527789,2564.48383832817
"Metap1",1214.94378727024,1076.58320344862,1149.83520957734,1306.17036675888,1302.23504675806,1407.3230892686,1329.32025635777,1167.94609185286,1167.20489796993
"Metap1d",80.9962524846828,45.0308289730759,58.1761861988535,7.80802097977128,15.3621194263655,12.1643618088376,5.47947343923236,3.49335820095571,4.20867150710312
"Metap2",3309.67445497755,2964.4141103968,2829.24481999424,2701.57525900086,2622.19561593115,2648.08799377004,2473.43431046949,2473.29760627664,2246.0276942907
"Metrn",204.585361879414,224.461362881178,209.605376745869,113.774019990953,111.079940467566,96.3791743315597,93.1510484669502,81.5116913556333,179.569984303067
"Metrnl",145.932903183609,140.634742792837,126.618758197505,871.152055028767,950.088001445988,853.376766896917,1178.08678943496,921.082112318656,1423.93385990322
"Mettl10",159.897774301658,173.195496050292,150.573658397033,90.3499570516391,115.806746444909,94.507734053277,108.493574096801,108.294104229627,88.3821016491656
"Mettl13",541.138755824389,441.994905920345,466.265021740811,166.199303712274,134.713970354282,147.843781984334,99.726416594029,136.240969837273,93.9936636586365
"Mettl14",643.082314986145,635.281079512471,707.525088036057,400.439933105413,473.862299228658,374.288055656542,337.535563856714,364.473705633046,338.096611070618
"Mettl15",36.3086649069268,20.0906775418339,38.4989467492413,6.69258941123252,0,0,5.47947343923236,6.98671640191142,11.2231240189417
"Mettl18",125.683840062439,120.544065251003,145.440465497134,51.3098521527827,40.1778508074174,48.6574472353505,42.7398928260124,12.8089800701709,21.0433575355156
"Mettl20",57.9542151399023,77.5915822305308,68.4425719986512,61.3487362696315,56.7216717281187,43.9788465396437,61.3701025194025,47.742562079728,39.2809340662958
"Mettl21c",2.79297422360975,0,3.42212859993256,4.46172627415502,0,0,0,0,4.20867150710312
"Mettl23",60.0489458076096,58.1936866728981,56.4651218988872,70.2721888179415,55.5399702337829,62.6932493224709,151.233466922813,190.970248318912,165.54107927939
"Mettl24",0,0,0,0,0,0,0,0,0
"Mettl25",76.8067911492682,69.970980404318,83.8421506983477,50.1944205842439,85.082507592178,110.41497641868,74.5208387735601,54.7292784816395,47.6982770805021
"Mettl2b",355.405969954341,335.306480353365,381.56733889248,226.432608413367,206.797761508766,262.937359098721,119.452520975266,186.312437384305,158.526626767551
"Mettl3",479.693322904975,444.76603385715,455.998635941014,399.324501536874,605.031165099933,508.096035553756,300.275144469933,340.020198226356,266.549195449865
"Mettl4",59.3507022517072,69.970980404318,55.6095897489041,21.1931998022363,23.6340298867161,7.48576111313085,36.1645246989336,37.2624874768609,25.2520290426187
"Mettl5",298.149998370341,225.846926849581,312.269234743846,151.698693321271,94.5361195468645,136.615140314638,99.726416594029,103.636293295019,95.3965541610042
"Mettl6",317.700817935609,281.269485585674,390.978192542295,678.182393671562,540.037582911463,644.711175868394,380.275456682726,423.860795049293,368.960202122707
"Mettl7a",373.560302407804,320.06527670094,306.280509693964,240.933218804371,210.342865991773,277.908881324983,396.713877000423,427.354153250249,430.687384226886
"Mettl7b",0,0.692781984201168,0,0,0,0,0,0,0
"Mettl9",983.126926710632,1134.77689012151,1432.16081907178,626.87254151878,628.665194986649,579.2107661285,565.48165892878,591.541988695167,533.098390899729
"Mex3b",5.5859484472195,20.0906775418339,13.6885143997302,49.0789890157052,20.0889254037087,18.7144027828271,16.4384203176971,19.7956964720824,29.4607005497219
"Mex3c",1411.84847003473,1447.91434698044,1566.47936661913,4468.41886356625,4586.18349951726,4809.60151518657,3539.73984174411,3711.11086214862,2817.00412875436
"Mfap1a",932.155147129754,899.231015493116,1079.68157327872,1239.24447264656,1284.50952434302,1346.50128022441,912.880274976112,911.76649044944,913.281717041378
"Mfap2",0,1.38556396840234,0.85553214998314,1.11543156853875,0,0,4.38357875138589,0,1.40289050236771
"Mfap3",264.634307687024,312.444674874727,254.093048544993,456.21151153235,378.144478187458,490.317352910071,200.548727875904,228.232735795773,255.326071430923
"Mfap3l",80.9962524846828,54.7297767518923,83.8421506983477,46.8481258786277,50.8131642564396,38.3645257047956,43.8357875138589,86.1695022902409,61.7271821041792
"Mfap4",0,0,0,0,0,0,0,0,0
"Mfap5",0,0,0,0,0,0,0,0,0
"Mff",0,0,0,0,0,0.935720139141356,0,0,1.40289050236771
"Mfge8",4076.34587935843,4249.52469108997,3843.05041772426,2398.17787235832,2320.86173487552,1799.38982756883,2909.60039623238,2947.22986887297,2710.38445057441
"Mfhas1",446.177632221658,491.182426798628,454.287571641047,702.721888179415,722.019613039177,843.083845366362,1240.55278664221,1265.76012147962,1432.35120291743
"Mfi2",0,0,3.42212859993256,0,1.18170149433581,6.55004097398949,0,0,0
"Mfn1",1011.75491250263,1051.64305201737,1069.41518747892,1397.63575537906,1278.60101687134,1496.21650248703,953.428378426431,1042.18519661845,879.612344984553
"Mfn2",803.678332843706,784.229206115722,740.035309735416,714.991635433341,686.568568209103,599.796609189609,693.701337406817,739.427485868959,712.668375202796
"Mfng",2.09473066770731,0.692781984201168,0,14.5006103910038,18.9072239093729,12.1643618088376,2.19178937569295,6.98671640191142,1.40289050236771
"Mfrp",0,0,1.71106429996628,3.34629470561626,0,0,0,2.32890546730381,1.40289050236771
"Mfsd1",1931.34167562614,2056.17692910907,1633.21087431781,2331.251978246,2350.40427223392,2361.75763119278,3356.72542887375,3528.29178296527,3382.36900120854
"Mfsd10",557.896601166048,611.03371006543,686.136784286478,344.668354678475,361.600657266757,317.20912716892,437.261980450743,497.221317269363,483.997223316859
"Mfsd11",583.033369178536,671.998524675133,768.26787068486,1223.62843068701,1295.14483779204,1199.59321837922,920.551537791037,1075.95432589436,878.209454482185
"Mfsd12",161.294261413463,156.568728429464,116.352372397707,75.8493466606353,102.808030007215,96.3791743315597,105.205890033261,150.214402641096,152.91506475808
"Mfsd2a",81.6944960405852,72.0493263569215,67.587039848668,6.69258941123252,23.6340298867161,20.5858430611098,24.1096831326224,4.65781093460761,2.80578100473542
"Mfsd3",400.093557532097,350.547684005791,302.002848944048,107.08143057972,116.988447939245,101.993495166408,150.137572234967,122.26753703345,216.045137364627
"Mfsd4",0,1.38556396840234,6.84425719986512,0,0,4.67860069570678,0,0,0
"Mfsd5",923.077980903023,788.385898020929,829.866185483646,2147.2057694371,2054.97889864997,1949.10504983144,1905.76086216502,1814.21735902967,2233.40167976939
"Mfsd6",756.896014598242,745.433415000457,737.468713285466,1200.2043677477,1356.5933154975,1383.93008579007,1987.9529637535,1948.12942339963,1914.94553573192
"Mfsd6l",0,0,0,2.23086313707751,0,3.74288055656542,0,0,0
"Mfsd7",30.0244729038048,33.9463172258572,35.9323502992919,4.46172627415502,11.8170149433581,12.1643618088376,16.4384203176971,10.4800746028671,16.8346860284125
"Mfsd8",150.820608074927,137.170832871831,130.89641894742,85.888230777484,88.6276120751854,66.4361298790363,80.0003122127925,54.7292784816395,75.7560871278562
"Mfsd9",148.027633851317,146.176998666446,131.751951097404,49.0789890157052,35.4510448300742,34.6216451482302,49.3152609530913,43.0847511451204,57.518510597076
"Mgarp",27.9297422360975,13.1628576998222,13.6885143997302,14.5006103910038,23.6340298867161,3.74288055656542,13.1507362541577,18.6312437384305,26.6549195449865
"Mgat1",1274.29448952195,1274.02606894595,1316.66397882405,2199.63105315842,2280.6838840681,2386.08635481046,1806.03444557099,1916.68919959103,2056.63747647106
"Mgat2",1145.11943168,1178.42215512619,1254.21013187528,1103.16182128483,1065.8947478909,1052.68515653403,991.784692501058,859.366117435105,941.339527088732
"Mgat3",326.777984162341,293.739561301295,278.903480894504,102.619704305565,73.2654926488199,51.4646076527746,168.767781928357,138.569875304577,195.001779829111
"Mgat4a",164.087235637073,152.412036524257,163.40664064678,61.3487362696315,103.989731501551,160.943863932313,149.04167754712,116.44527336519,113.634130691784
"Mgat4b",1286.16462997229,1337.76201149246,1281.58716067474,1288.32346166226,1227.7878526149,1230.47198297088,1570.417087684,1683.79865286065,1697.49750786493
"Mgat4c",0,0,0,0,0,0,0,0,0
"Mgat4d",0,0,0,0,0,0,0,0,0
